Name,Executable_Name
"Tom Clancy's Rainbow Six Vegas II","r6vegas2_game.exe"
"Tom Clancy's Splinter Cell Chaos Theory","splintercell3.exe"
"The Guild 2 Renaissance","guildii.exe"
"Soma","soma.exe"
"Hellblade","hellbladegame-win64-shipping.exe"
"DiRT Rally","drt.exe"
"Killer Is Dead - Nightmare Edition","kidgame.exe"
"Saints Row: Gat out of Hell","saintsrowgatoutofhell.exe"
"The Banner Saga","the banner saga.exe"
"Trackmania United Forever","tmforever.exe"
"Trials Evolution","trialsfmx.exe"
"Neighbours From Hell Compilation","game.exe"
"The Guild II","guildii.exe"
"The Flame in the Flood","rivergame-win64-shipping.exe"
"Dreamfall Chapters: The Longest Journey","dreamfall chapters.exe"
"Risen 3 - Titan Lords","risen3.exe"
"Sacred 2 Gold","sacred2.exe"
"Deponia: The Complete Journey","deponia.exe"
"Chaos on Deponia","deponia2.exe"
"The Banner Saga 2","the banner saga 2.exe"
"Tormentor❌Punisher","tormentorxpunisher.exe"
"Tormentor❌Punisher","tormentorxpunishergit.exe"
"Assassin’s Creed® Chronicles: India","accgame-win32-shipping.exe"
"Batman: Arkham Asylum GOTY Edition","shippingpc-bmgame.exe"
"Brothers in Arms: Road to Hill 30","bia.exe"
"Call of Juarez: Bound in Blood","cojbibgame_x86.exe"
"Child of Light","childoflight.exe"
"Prince of Persia: The Sands of Time","princeofpersia.exe"
"Prince of Persia: Warrior Within","princeofpersia.exe"
"Silent Hunter 5: Battle of the Atlantic","sh5.exe"
"Silent Hunter: Wolves of the Pacific","sh4.exe"
"The Lord of the Rings: War in the North","witn.exe"
"Delta Force: Black Hawk Down","dfbhd.exe"
"Painkiller: Black Edition","painkiller.exe"
"SpellForce: Platinum Edition","spellforce.exe"
"The Guild II - Pirates of the European Seas","guildii.exe"
"Codename CURE","cure.exe"
"Dungeon Defenders II","dundefgame.exe"
"Dungeon Defenders II","dungeondefenders.exe"
"Dungeon Defenders II","dundefgame.exe"
"Dungeon Defenders II","dungeondefenders.exe"
"Cry of Fear","cof.exe"
"Blackwake","blackwake.exe"
"Age of Empires® III: Complete Collection","age3.exe"
"Age of Empires® III: Complete Collection","age3y.exe"
"Far Cry® 3","farcry3.exe"
"Far Cry® 3","farcry3_d3d11.exe"
"Transformice","transformice.exe"
"Football Manager 2018","fm.exe"
"Total War: ATTILA","attila.exe"
"FINAL FANTASY XV WINDOWS EDITION","ffxv_s.exe"
"Evolve Stage 2","evolve.exe"
"Total War: SHOGUN 2","shogun2.exe"
"Into the Breach","breach.exe"
"Alien Swarm: Reactive Drop","reactivedrop.exe"
"TrackMania Nations Forever","tmforever.exe"
"Left 4 Dead","left4dead.exe"
"Amnesia: The Dark Descent","amnesia.exe"
"Game Dev Tycoon","nw.exe"
"Banished","application-steam-x64.exe"
"Of Guards And Thieves","ogat.exe"
"Who's Your Daddy","whosyourdaddy.exe"
"FINAL FANTASY XV WINDOWS EDITION PLAYABLE DEMO","ffxv_s.exe"
"Call of Duty: Modern Warfare 2","iw4mp.exe"
"Call of Duty: Modern Warfare 2","iw4sp.exe"
"Torchlight II","torchlight2.exe"
"Super Meat Boy","supermeatboy.exe"
"Men of War: Assault Squad 2","mowas2.exe"
"Men of War: Assault Squad 2","mowas_2.exe"
"Darwin Project","darwin-win64-shipping.exe"
"Darwin Project","darwin.exe"
"Hyper Universe","hyperuniverse.exe"
"Grim Dawn","grim dawn.exe"
"Rising Storm/Red Orchestra 2 Multiplayer","rogame.exe"
"Fishing Planet","fishingplanet.exe"
"Assetto Corsa","assettocorsa.exe"
"Assetto Corsa","acs.exe"
"Assetto Corsa","acshowroom.exe"
"Aim Hero","aim hero.exe"
"Source Filmmaker","sfm.exe"
"Poly Bridge","polybridge.exe"
"DiRT 3 Complete Edition","dirt3_game.exe"
"Goat Simulator","goatgame-win32-shipping.exe"
"Risk of Rain","risk of rain.exe"
"BombTag","bombtag.exe"
"Miscreated","miscreated.exe"
"theHunter Classic","thehunter.exe"
"Cortex Command","cortex command.exe"
"METAL GEAR SURVIVE BETA","mgv.exe"
"Block N Load","blocknload.exe"
"Lethal League","lethalleague.app"
"Lethal League","lethalleague.exe"
"Sniper Elite 4","sniperelite4.exe"
"Endless Space 2","endlessspace2.exe"
"Dead Maze","deadmaze.exe"
"World of Warcraft Public Test","wowt-64.exe"
"Sniper Elite 3","sniperelite3_mantle.exe"
"Magicka","magicka.exe"
"Street Fighter V","streetfighterv.exe"
"Street Fighter V","streetfightervbeta-win64-shipping.exe"
"Dead Space™","dead space.exe"
"Superflight","superflight.exe"
"The Witcher 2: Assassins of Kings Enhanced Edition","witcher2.exe"
"Spintires","spintires.exe"
"Blood and Bacon","bloodandbacon.exe"
"Car Mechanic Simulator 2018","cms2018.exe"
"Dragon's Dogma: Dark Arisen","ddda.exe"
"Project Zomboid","projectzomboid32.exe"
"Project Zomboid","projectzomboid64.exe"
"Hero Siege","hero_siege.exe"
"POSTAL 2","postal2.exe"
"SNOW","playsnow.exe"
"Real Pool 3D - Poolians","poolians.exe"
"Bloons TD5","btd5-win.exe"
"Deus Ex: Mankind Divided™","dxmd.exe"
"Keep Talking and Nobody Explodes","ktane.exe"
"Age of Mythology: Extended Edition","aomx.exe"
"F1 2015","f1_2015.exe"
"Overcooked","overcooked.exe"
"The Witcher: Enhanced Edition","witcher.exe"
"PickCrafter","pickcrafter.exe"
"Need for Speed™ Most Wanted","speed.exe"
"Need for Speed™ Most Wanted","nfs13.exe"
"Just Survive","h1z1.exe"
"Just Survive","h1z1_be.exe"
"One Finger Death Punch","one finger death punch.exe"
"The Elder Scrolls: Legends","the elder scrolls legends.exe"
"Pit People","pitpeople.exe"
"Magic Duels","magicduels.exe"
"STAR WARS™ Knights of the Old Republic™ II: The Sith Lords™","swkotor2.exe"
"Tree of Savior (English Ver.)","client_tos.exe"
"Toribash","toribash.exe"
"STAR WARS™ Jedi Knight: Jedi Academy™","jamp.exe"
"STAR WARS™ Jedi Knight: Jedi Academy™","jasp.exe"
"STAR WARS™ Jedi Knight: Jedi Academy™","jediacademy.exe"
"Deep Rock Galactic","fsd-win64-shipping.exe"
"Stranded Deep","stranded_deep_x64.exe"
"Hunt: Showdown (Test Server)","hunt.exe"
"Eco","eco.exe"
"Hide and Shriek","hideandshriek-win64-shipping.exe"
"APB Reloaded","apb.exe"
"Call of Duty: Black Ops","blackops.exe"
"Call of Duty: Black Ops","blackopsmp.exe"
"Call of Duty: Black Ops","t6sp.exe"
"Prey","prey.exe"
"Metro Conflict: The Origin","metroconflict.exe"
"Spelunky","spelunky.exe"
"Medieval II: Total War","medieval2.exe"
"Magicka 2","magicka2.exe"
"UNO","uno.exe"
"Nioh: Complete Edition","nioh.exe"
"Warhammer 40,000: Dawn of War III","relicdow3.exe"
"Fortnite","fortniteclient-mac-shipping.app"
"Fortnite","fortniteclient-win64-shipping.exe"
"Unleash","unleash.exe"
"Estranged: Act II","insulam-win64-shipping.exe"
"Archeage","archeage.exe"
"WAKFU","wakfu.app"
"WAKFU","wakfu.exe"
"Microsoft Flight Simulator X: Steam Edition","fsx.exe"
"Darwin Project","darwin.exe"
"Mitos.is: The Game","mitosis.exe"
"Genital Jousting","genitaljousting.exe"
"Universe Sandbox ²","universe sandbox x64.exe"
"Aura Kingdom","_launcher.exe"
"Aura Kingdom","launcher.exe"
"Far Cry 5","farcry5.exe"
"The Darkness II","darknessii.exe"
"STAR WARS™ Empire at War: Gold Pack","starwarsg.exe"
"STAR WARS™ Empire at War: Gold Pack","sweaw.exe"
"BLOCKADE 3D","main.exe"
"MINDNIGHT","mindnight.exe"
"Zombie Panic! Source","zps.exe"
"Just Cause™ 3: Multiplayer Mod","playjcmp.exe"
"SimCity™","simcity.exe"
"Frostpunk","frostpunk.exe"
"Hurtworld","hurtworld.exe"
"Hurtworld","hurtworldclient.exe"
"Modern Combat Versus","moderncombatversus.exe"
"Quantum Break","quantumbreak.exe"
"The Jackbox Party Pack 3","the jackbox party pack 3.exe"
"Tropico 5","appdata.exe"
"Radical Heights","radicalheights.exe"
"My Summer Car","mysummercar.exe"
"Spec Ops: The Line","specopstheline.exe"
"Friday the 13th: Killer Puzzle","f13.exe"
"Verdun","1914-1918 series.exe"
"Verdun","verdun.exe"
"World of Guns: Gun Disassembly","disasm.exe"
"No Man's Sky","nms.exe"
"Ylands","ylands.exe"
"RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil","re7.exe"
"BATTLETECH","battletech.exe"
"Super Hexagon","superhexagon.exe"
"PixARK","pixark.exe"
"Spiral Knights","javaw.exe"
"Satellite Reign","satellitereignwindows.exe"
"Pillars of Eternity","pillarsofeternity.exe"
"Conan Exiles","conansandbox.exe"
"Conan Exiles","conansandbox_be.exe"
"TrackMania² Stadium","maniaplanet.exe"
"Need for Speed™","nfs16.exe"
"Day of Defeat: Source","hl2.exe"
"Dungeon of the Endless","dungeonoftheendless.exe"
"Endless Legend","endlesslegend.exe"
"DEEP SPACE WAIFU","deep space waifu.exe"
"Surviving Mars","marssteam.exe"
"Dragon Age™: Inquisition","dragonageinquisition.exe"
"Mass Effect™: Andromeda","masseffectandromeda.exe"
"CrossFire","crossfire.exe"
"Toontown Rewritten","ttrengine.exe"
"Survarium","survarium.exe"
"Plants vs Zombies GW2","gw2.main_win64_retail.exe"
"Project64","project64.exe"
"Armored Warfare","armoredwarfare.exe"
"The Expendabros","expendabros.exe"
"Mount Your Friends","mountyourfriends.exe"
"Project CARS 2","pcars2avx.exe"
"Shakes and Fidget","shakes and fidget.exe"
"SAS: Zombie Assault 4","sas4-win.exe"
"Awesomenauts","awesomenauts.exe"
"Yume Nikki","rpg_rt.exe"
"Holdfast: Nations At War","holdfast naw.exe"
"Learn to Fly 3","learn to fly 3.exe"
"Stories: The Path of Destinies","stories.exe"
"Layers of Fear","layers of fear.exe"
"Star Trek Online","star trek online.exe"
"Star Trek Online","gameclient.exe"
"Star Trek Online","gameclient.exe"
"Star Trek Online","gameclient.exe"
"Minion Masters","minionmasters.exe"
"Warhammer 40,000: Dawn of War - Soulstorm","soulstorm.exe"
"Ultimate Epic Battle Simulator","uebs.exe"
"TerraTech","terratechwin32.exe"
"AirMech Strike","airmech.exe"
"Spintires: MudRunner","mudrunner.exe"
"Alien Swarm","swarm.exe"
"Hacknet","hacknet.exe"
"Quake Champions","quakechampions.exe"
"Iron Snout","ironsnout.exe"
"DARK SOULS™: REMASTERED","darksouls.exe"
"DARK SOULS™: REMASTERED","darksoulsremastered.exe"
"Raft","raft.exe"
"Dungreed","dungreed.exe"
"Grand Theft Auto IV","gtaiv.exe"
"Synergy","synergy.exe"
"Wizard of Legend","wizardoflegend.exe"
"Kritika Online","kritika_client.exe"
"Mirror's Edge","mirrorsedge.exe"
"Car Mechanic Simulator 2015","cms2015.exe"
"Double Action: Boogaloo","hl2.exe"
"STAR WARS™: Knights of the Old Republic™","swkotor.exe"
"The Stanley Parable","stanley.exe"
"Tyranny","tyranny.exe"
"Empyrion - Galactic Survival","empyrion.exe"
"Bless Online","bless.exe"
"60 Seconds!","60seconds.exe"
"The Escapists","theescapists.exe"
"Dauntless","dauntless-win64-shipping.exe"
"Dragon Age: Origins - Ultimate Edition","daorigins.exe"
"Total War Saga: Thrones of Britannia","thrones.exe"
"OKAMI HD / 大神 絶景版","okami.exe"
"AdVenture Communist","adventure-communist.exe"
"Governor of Poker 3","gop3.exe"
"Worms Revolution","wormsrevolution.exe"
"L.A. Noire","lanoire.exe"
"The Elder Scrolls III: Morrowind","morrowind.exe"
"Armello","armello.exe"
"NBA 2K18","nba2k18.exe"
"MechWarrior Online","mechwarrioronline.exe"
"MechWarrior Online","mwoclient.exe"
"Resident Evil 5 / Biohazard 5","re5dx9.exe"
"House Flipper","houseflipper.exe"
"Sleeping Dogs: Definitive Edition","sdhdship.exe"
"FINAL FANTASY VII","ff7_en.exe"
"Heroes of Hammerwatch","hwr.exe"
"Youtubers Life","youtuberslife.exe"
"resident evil 4 / biohazard 4","bio4.exe"
"State of Decay: Year-One","stateofdecay.exe"
"Argo","argobattleye.exe"
"ESEA","eseaclient.exe"
"ESEA","eseaclientsteam.exe"
"Zombie Army Trilogy","zat.exe"
"Call of Duty: Modern Warfare 3","iw5mp.exe"
"Call of Duty: Modern Warfare 3","iw5sp.exe"
"Horizon Source","gameclient.exe"
"Yet Another Zombie Defense","yetanotherzombiedefense.exe"
"CPUCores :: Maximize Your FPS","cpucores.exe"
"Wargame: Red Dragon","wargame3.exe"
"Resident Evil 6 / Biohazard 6","bh6.exe"
"CastleMiner Z","castleminerz.exe"
"The Lord of the Rings Online™","lotroclient.exe"
"For The King","ftk.exe"
"Just Cause 2","justcause2.exe"
"Gigantic","rxgame-win64-shipping.exe"
"Dawn of War II - Retribution","dow2.exe"
"Paint the Town Red","paintthetownred.exe"
"Black Mesa","bms.exe"
"Vindictus","vindictus.exe"
"Batman: Arkham City GOTY","batmanac.exe"
"Night in the Woods","night in the woods.exe"
"Door Kickers","doorkickers.exe"
"WARMODE","warmode.exe"
"Sniper Ghost Warrior 2","sniperghostwarrior2.exe"
"Battlefield: Bad Company 2","bfbc2game.exe"
"LIMBO","limbo.exe"
"HELLDIVERS™","helldivers.exe"
"Teeworlds","teeworlds.app"
"Teeworlds","teeworlds.exe"
"Moonbase Alpha","moonbasealphagame.exe"
"McOsu","mcengine.exe"
"Loading Screen Simulator","lss.exe"
"STAR WARS™ Republic Commando","swrepubliccommando.exe"
"The Lab","thelab.exe"
"Citra","citra-qt.app"
"Citra","citra-qt.exe"
"Sword Art Online: Fatal Bullet","saofb-win64-shipping.exe"
"Bit Heroes","bit heroes.exe"
"Orcs Must Die! 2","orcsmustdie2.exe"
"DC Universe Online","dcgame.exe"
"GUILTY GEAR Xrd -REVELATOR-","bootggxrd.exe"
"GUILTY GEAR Xrd -REVELATOR-","guiltygearxrd.exe"
"Battle Royale Trainer","battleroyaletrainer-win64-shipping.exe"
"Rise of Nations: Extended Edition","patriots.exe"
"The Jackbox Party Pack 2","the jackbox party pack 2.exe"
"Aion","aion.bin"
"Alien: Isolation","ai.exe"
"Sins of a Solar Empire: Rebellion","sins of a solar empire rebellion.exe"
"DRAGON BALL XENOVERSE","dbxv.exe"
"Supreme Commander: Forged Alliance","supremecommander.exe"
"Spellsworn","spellsworn-win64-test.exe"
"Mass Effect™ 3","masseffect3.exe"
"SUPERHOT VR","superhotvr.exe"
"Black Desert Online SA","blackdesertpatcher32.pae.exe"
"Grand Theft Auto: Vice City","gta--vc.exe"
"Grand Theft Auto: Vice City","gta-vc.exe"
"Digimon Masters Online","dmlauncher.exe"
"Mirror's Edge™ Catalyst","mirrorsedgecatalyst.exe"
"ANNO 2070","anno5.exe"
"Life is Feudal: MMO","cm_client.exe"
"Faeria","faeria.exe"
"Everlasting Summer","everlasting summer.app"
"Everlasting Summer","everlasting summer.exe"
"Dark and Light","dnl.exe"
"Steel Division: Normandy 44","steeldivision.exe"
"Amnesia: A Machine for Pigs","aamfp.exe"
"RWBY: Grimm Eclipse","rwby-ge.exe"
"DmC Devil May Cry","dmc-devilmaycry.exe"
"Supreme Commander 2","supremecommander2.exe"
"Deus Ex: Human Revolution - Director's Cut","dxhr.exe"
"Deus Ex: Human Revolution - Director's Cut","dxhrdc.exe"
"FreeStyle 2: Street Basketball","freestyle2.exe"
"Furi","furi.exe"
"Ultra Street Fighter IV","ssfiv.exe"
"RIFT","rift.exe"
"RIFT","glyphclientapp.exe"
"RIFT","rift_x64.exe"
"OneShot","oneshot.exe"
"High Octane Drift","highoctanedrift.exe"
"RUINER","ruiner-win64-shipping.exe"
"PHANTASY STAR ONLINE 2","pso2.exe"
"Sword With Sauce: Alpha","swordwithsauce-win64-shipping.exe"
"Mass Effect™","masseffect.exe"
"Turmoil","turmoil_pc_full.exe"
"Worms Armageddon","wa.exe"
"Pillars of Eternity II: Deadfire","pillarsofeternityii.exe"
"PC Building Simulator","pcbs.exe"
"Streets of Rogue","streetsofrogue.exe"
"Hitman: Absolution","hma.exe"
"Football Manager 2017","fm.exe"
"Atlas Reactor","glyphclientapp.exe"
"Max Payne 3","maxpayne3.exe"
"S.T.A.L.K.E.R.: Shadow of Chernobyl","xr_3da.exe"
"Rec Room","recroom_release.exe"
"My Time At Portia","portia.exe"
"Lost Castle","lost_castle.exe"
"Soda Dungeon","dungeon.exe"
"Fallout 3","fallout3.exe"
"RUNNING WITH RIFLES","rwr_game.exe"
"Emily is Away","emily is away.exe"
"Tactical Monsters Rumble Arena","tactical monsters.exe"
"PAYDAY: The Heist","payday_win32_release.exe"
"Brick Rigs","brickrigs-win64-shipping.exe"
"Star Conflict","game.exe"
"AdventureQuest 3D","aq3d.exe"
"Bayonetta","bayonetta.exe"
"Boring Man - Online Tactical Stickman Combat","boringmangame.exe"
"Mass Effect™ 2","me2game.exe"
"Mass Effect™ 2","masseffect2.exe"
"Shadow Warrior 2","shadowwarrior2.exe"
"DARK SOULS™ II","darksoulsii.exe"
"Empire: Total War","empire.exe"
"Burnout Paradise: The Ultimate Box","burnoutparadise.exe"
"Supraball","udk.exe"
"Supraball","udk.exe"
"Desolate","sh-win64-shipping.exe"
"Arma 2: Operation Arrowhead","arma2oa_be.exe"
"MU Legend","mulegend.exe"
"Aragami","aragami.exe"
"House Party","houseparty.exe"
"Relic Hunters Zero","relichunterszero.exe"
"EverQuest","eqclient.exe"
"EverQuest","eqgame.exe"
"WildStar","wildstar.exe"
"WildStar","wildstar64.exe"
"Spooky's Jump Scare Mansion","spooky.exe"
"S.T.A.L.K.E.R.: Call of Pripyat","xrengine.exe"
"S.T.A.L.K.E.R.: Call of Pripyat","stalker-cop.exe"
"Forts","forts.exe"
"Heroes of Newerth","hon.exe"
"Osiris: New Dawn","osirisnewdawn.exe"
"Shadow Warrior","sw.x64.exe"
"America's Army: Proving Grounds","aagame.exe"
"AION Free-to-Play","aion.bin"
"Stronghold Crusader 2","crusader2.exe"
"Owlboy","owlboy.exe"
"Reigns","reigns.exe"
"Zula Online","zula_launcher.exe"
"Tales of Berseria","tales of berseria.exe"
"Shooty Skies","shootyskies.exe"
"HunieCam Studio","huniecamstudio.exe"
"Bomber Crew","bombercrew.exe"
"Line of Sight","lsgame_be.exe"
"S.K.I.L.L. - Special Force 2","sf2.exe"
"S.K.I.L.L. - Special Force 2","sf2.exe"
"S.K.I.L.L. - Special Force 2","dfubg.exe"
"S.K.I.L.L. - Special Force 2","dfufg.exe"
"Mini Metro","minimetro.exe"
"ORION: Prelude","dinohordegame.exe"
"Tricky Towers","trickytowers.exe"
"Surgeon Simulator","ss2013.exe"
"The Jackbox Party Pack 4","the jackbox party pack 4.exe"
"Contagion","contagion.exe"
"SimplePlanes","simpleplanes.exe"
"RPG Maker MV","rpgmv.exe"
"FEZ","fez.exe"
"Five Nights at Freddy's","fivenightsatfreddys.exe"
"Injustice™ 2","injustice2.exe"
"Eternal Card Game","eternal.exe"
"CarX Drift Racing Online","drift racing online.exe"
"The Evil Within 2","tew2.exe"
"Death Road to Canada","prog.exe"
"Totally Accurate Battle Zombielator","game.exe"
"Mount & Blade: With Fire and Sword","mb_wfas.exe"
"Secret World Legends","secretworldlegends.exe"
"Secret World Legends","secretworldlegendsdx11.exe"
"Victoria II","victoria2.exe"
"Call to Arms","call_to_arms.exe"
"Mirror","game.exe"
"LEGO® Star Wars™: The Complete Saga","legostarwarssaga.exe"
"Just Fishing","justfishing.exe"
"Domina","domina.exe"
"Quake Live","quakelive.exe"
"Quake Live","quakelive_steam.exe"
"Orcs Must Die!","spitfiredashboard.exe"
"Loadout","loadout.exe"
"Farming Simulator 15","farmingsimulator2015game.exe"
"Rome: Total War","rometw.exe"
"Fallout 4 VR","fallout4vr.exe"
"Magicite","magicite.exe"
"Bully: Scholarship Edition","bully.exe"
"Nidhogg","nidhogg.exe"
"Black Survival","blacksurvival.exe"
"FORTIFY","fortify.exe"
"Avorion","avorion.exe"
"Serious Sam 3: BFE","sam3.exe"
"Gold Rush: The Game","goldrushthegame.exe"
"The Red Solstice","game.exe"
"Ni no Kuni™ II: Revenant Kingdom","nino2.exe"
"Rock of Ages 2","roa2-win64-shipping.exe"
"Skyforge","skyforge.exe"
"Meteor 60 Seconds!","meteor60seconds.exe"
"Yu-Gi-Oh! Legacy of the Duelist","yugioh.exe"
"Beat Saber","beat saber.exe"
"SpellForce 3","sf3clientfinal.exe"
"Titan Quest Anniversary Edition","tq.exe"
"SEGA Mega Drive & Genesis Classics","segagameroom.exe"
"PUBG: Test Server","execpubg.exe"
"Overgrowth","overgrowth.exe"
"Dream Daddy: A Dad Dating Simulator","ddadds.exe"
"Kingdoms of Amalur: Reckoning™","reckoning.exe"
"Star Citizen","starcitizen.exe"
"Need for Speed: Hot Pursuit","nfs11.exe"
"Battlefield™ Hardline","bfh.exe"
"World of Warplanes","worldofwarplanes.exe"
"Train Simulator","railworks.exe"
"Tiger Knight","frontend.exe"
"Ball 3D: Soccer Online","ball 3d.exe"
"Passpartout: The Starving Artist","passpartout.exe"
"Monster Prom","monsterprom.exe"
"Totally Accurate Battlegrounds","totallyaccuratebattlegrounds.exe"
"Vampyr","avgame-win64-shipping.exe"
"Outlast 2","outlast2.exe"
"Portal Knights","portal_knights_x64.exe"
"Fortified","fenris-win64-shipping.exe"
"TOXIKK","toxikk.exe"
"Battle Carnival","bc.exe"
"iRacing","iracingsim.exe"
"iRacing","iracingsim64.exe"
"CrossFire","crossfire.exe"
"FarCry 4","farcry4.exe"
"Celeste","celeste.exe"
"Audiosurf","audiosurf.exe"
"Baldur's Gate: Enhanced Edition","baldur.exe"
"Sid Meier's Civilization III: Complete","civ3conquests.exe"
"Warhammer 40,000: Inquisitor - Martyr","warhammer_x64_11.exe"
"MONMUSU","game.exe"
"Little Nightmares","littlenightmares.exe"
"RollerCoaster Tycoon: Deluxe","rct.exe"
"Halo Wars: Definitive Edition","xgamefinal.exe"
"Jurassic World Evolution","jwe.exe"
"Defiance","defiance.exe"
"Defiance","glyphclientapp.exe"
"Thief","shipping-thiefgame.exe"
"From The Depths","from_the_depths.exe"
"A Story About My Uncle","asamu-win32-shipping.exe"
"Moonlighter","moonlighter.exe"
"Pirate101","pirate.exe"
"Pirate101","pirate101.exe"
"Dreadnought","dreadgame-win64-shipping.exe"
"Napoleon: Total War","napoleon.exe"
"Alliance of Valiant Arms","ava.exe"
"Arpiel Online","arpiel.exe"
"ManiaPlanet","maniaplanet.exe"
"마비노기 영웅전","heroes.exe"
"Lineage II","l2.exe"
"Lineage II","lineageii.exe"
"MapleStory 2","maplestory2.exe"
"PPSSPP","ppssppwindows.exe"
"PPSSPP","ppssppwindows64.exe"
"Command & Conquer™: Generals and Zero Hour","generals.exe"
"Nox APP Player","nox.exe"
"Tribes: Ascend","tribesascend.exe"
"Medieval Engineers","medievalengineers.exe"
"Cuisine Royale","enlisted.exe"
"Witch It","propwitchhuntmodule-win64-shipping.exe"
"GRID 2","grid2.exe"
"GRID 2","grid2_avx.exe"
"Mark of the Ninja","game.exe"
"Nomad","nomad.exe"
"GORN","gorn.exe"
"Unreal Gold","unreal.exe"
"Shadowrun Returns","shadowrun.exe"
"Space Hulk: Deathwing - Enhanced Edition","spacehulkgame-win64-shipping.exe"
"Colony Survival","colonyclient.exe"
"Murder Miners","murder miners.exe"
"GOD EATER 2 Rage Burst","ge2rb.exe"
"Aimtastic","aimtastic.exe"
"Tom Clancy's The Division Trial","thedivision.exe"
"Call of Duty: Infinite Warfare","iw7_ship.exe"
"Transistor","transistor.exe"
"LEGO® MARVEL Super Heroes","legomarvel.exe"
"Salt and Sanctuary","salt.exe"
"Transport Fever","transportfever.exe"
"EARTH DEFENSE FORCE 4.1  The Shadow of New Despair","edf41.exe"
"The Crew 2","thecrew2.exe"
"Titan Souls","titan.exe"
"METAL GEAR RISING: REVENGEANCE","metal gear rising revengeance.exe"
"Next Day: Survival","nextday_game.exe"
"Robot Roller-Derby Disco Dodgeball","disco dodgeball.exe"
"Life is Feudal: Your Own","yo_cm_client.exe"
"Blood Bowl 2","bloodbowl2_dx_32.exe"
"Poker Night 2","pokernight2.exe"
"Five Nights at Freddy's 2","fivenightsatfreddys2.exe"
"The Awesome Adventures of Captain Spirit","captainspirit-win64-shipping.exe"
"Freeman: Guerrilla Warfare","freeman guerrilla warfare.exe"
"Hammerwatch","hammerwatch.exe"
"RollerCoaster Tycoon 3: Platinum!","rct3plus.exe"
"Jalopy","jalopy.exe"
"Ultimate Custom Night","ultimate custom night.exe"
"Fable Anniversary","fable anniversary.exe"
"Pavlov VR","pavlov-win64-shipping.exe"
"Styx: Shards of Darkness","styx2-win64-shipping.exe"
"Audiosurf 2","audiosurf2.exe"
"Slap City","slap city.exe"
"Natural Selection 2","ns2.exe"
"To the Moon","to the moon.exe"
"Devil May Cry® 4 Special Edition","devilmaycry4_dx10.exe"
"Devil May Cry® 4 Special Edition","devilmaycry4_dx9.exe"
"Devil May Cry® 4 Special Edition","devilmaycry4specialedition.exe"
"Devil May Cry® 4 Special Edition","devimaycry4.exe"
"The Evil Within","evilwithin.exe"
"Lords Of The Fallen","lordsofthefallen.exe"
"Five Nights at Freddy's: Sister Location","sisterlocation.exe"
"fin-dev","legoninjago_dx11.exe"
"The Jackbox Party Pack","tjpp.exe"
"NEKOPARA Vol. 1","nekopara_vol1.exe"
"Grand Theft Auto III","gta3.exe"
"Worlds Adrift","worldsadrift.exe"
"We Were Here Too","we were here too.exe"
"Farm Together","farmtogether.exe"
"Vampire: The Masquerade - Bloodlines","vampire.exe"
"Stoneshard: Prologue","stoneshard.exe"
"Cook, Serve, Delicious! 2!!","csd2.exe"
"Warhammer 40,000: Dawn of War - Dark Crusade","darkcrusade.exe"
"FINAL FANTASY X/X-2 HD Remaster","ffx.exe"
"Heavy Metal Machines","hmm.exe"
"SOS","sos-win64-shipping.exe"
"Wreckfest","wreckfest_x64.exe"
"Card Hunter","cardhunter.app"
"Card Hunter","cardhunter.exe"
"Gear Up","traktor.amalgam.app.exe"
"Amorous","amorous.game.windows.exe"
"Pixel Worlds","pixelworlds.exe"
"Starbound","starbound.app"
"Starbound","starbound.exe"
"Starbound","starbound_opengl.exe"
"Montaro","nw.exe"
"Paladins - Public Test","paladins.exe"
"LawBreakers","lawbreakers.exe"
"Hot Dogs, Horseshoes & Hand Grenades","h3vr.exe"
"RollerCoaster Tycoon 2: Triple Thrill Pack","openrct2.exe"
"RollerCoaster Tycoon 2: Triple Thrill Pack","rct2.exe"
"Crash Bandicoot™ N. Sane Trilogy","crashbandicootnsanetrilogy.exe"
"Islands of Nyne: Battle Royale","ionbranch.exe"
"Islands of Nyne: Battle Royale","ionbranch_be.exe"
"Rules Of Survival","ros.exe"
"Age of Wonders III","aow3.exe"
"S.T.A.L.K.E.R.: Clear Sky","xrengine.exe"
"S.T.A.L.K.E.R.: Clear Sky","xrengine.exe"
"Russian Fishing 4","rf4_x64.exe"
"Omensight","omensight.exe"
"Sundered","sundered.exe"
"Project Highrise","game.exe"
"Crookz - The Big Heist","crookz.exe"
"System Shock: Enhanced Edition","sshock.exe"
"System Shock: Enhanced Edition","system shock.exe"
"The Metronomicon: Slay The Dance Floor","metronomicon.exe"
"Dungeons 2","dungeons2.exe"
"Tropico 4","tropico4.exe"
"Red Faction Guerrilla Re-Mars-tered","rfg.exe"
"Hellbound: Survival Mode","hellbound-win64-shipping.exe"
"MAD MACHINES","madmachines.exe"
"METAL GEAR SOLID V: GROUND ZEROES","mgsgroundzeroes.exe"
"Bloody Trapland","bloody trapland.exe"
"Worm.is: The Game","wormis.exe"
"Cossacks 3","cossacks.exe"
"Guild Wars","gw.exe"
"The Sims 2: Ultimate Collection","sims2ep9.exe"
"Dragon Age: Origins","daorigins.exe"
"Project Rhombus","project_rhombus.exe"
