Name,Executable_Name
"Robocraft","robocraft.exe"
"Robocraft","robocraftclient.exe"
"Golf It!","golfit-win64-shipping.exe"
"Heroes & Generals","heroesandgeneralsdesktop.exe"
"Heroes & Generals","hng.exe"
"Shadowverse","shadowverse.exe"
"7 Days to Die","7daystodie.exe"
"7 Days to Die","7daystodie_eac.exe"
"Killing Floor 2","kfgame.exe"
"StarCraft","starcraft.exe"
"Undertale","undertale.app"
"Undertale","undertale.exe"
"Duck Game","duckgame.exe"
"Dirty Bomb","shootergame-win32-shipping.exe"
"Business Tour - Online Multiplayer Board Game","businesstour.exe"
"Fallout Shelter","falloutshelter.exe"
"Slime Rancher","slimerancher.exe"
"Last Man Standing","lms.exe"
"Titanfall 2","titanfall2.exe"
"STAR WARS Battlefront","battlefront.exe"
"STAR WARS Battlefront","starwarsbattlefront.exe"
"Mount & Blade: Warband","binkplay.exe"
"Mount & Blade: Warband","mb_warband.exe"
"STAR WARS: The Old Republic","swtor.exe"
"PlanetSide 2","planetside2_x64.exe"
"PlanetSide 2","planetside2_x86.exe"
"Clicker Heroes","clicker heroes.exe"
"Psychonauts","psychonauts.exe"
"American Truck Simulator","amtrucks.exe"
"Call of Duty: World at War","codwaw.exe"
"Call of Duty: World at War","codwawmp.exe"
"Crossout","crossout-d3d9.exe"
"Crossout","crossout.exe"
"Dofus","dofus.exe"
"Comedy Night","comedy night.exe"
"Enter the Gungeon","etg.exe"
"Elite Dangerous","elitedangerous.exe"
"Elite Dangerous","elitedangerous32.exe"
"Elite Dangerous","elitedangerous64.exe"
"Wizard101","wizard101.exe"
"Wizard101","wizardgraphicalclient.exe"
"AdVenture Capitalist","adventure-capitalist.exe"
"Age of Empires II: HD Edition","age2_x1.exe"
"Age of Empires II: HD Edition","aok hd.exe"
"Age of Empires II: HD Edition","empires2.exe"
"EVE Online","evelauncher.exe"
"EVE Online","exefile.exe"
"Heat Signature","heat_signature.exe"
"RimWorld","rimworld914win.exe"
"RimWorld","rimworldwin.exe"
"WarThunder","aces.exe"
"Rivals of Aether","rivalsofaether.exe"
"BeamNG.drive","beamng.drive.exe"
"BeamNG.drive","beamng.drive.x64.exe"
"Subnautica","subnautica.exe"
"Sid Meier's Civilization VI","civilizationvi.exe"
"The Elder Scrolls Online","eso.exe"
"The Elder Scrolls Online","eso64.exe"
"DOOM","doomx64.exe"
"FTL: Faster Than Light","ftlgame.exe"
"Realm of the Mad God","realm of the mad god.exe"
"Just Cause 3","justcause3.exe"
"Portal","hl2p.exe"
"Portal","hl2.exe"
"Dead Cells","deadcells.exe"
"FIFA 17","fifa17.exe"
"DRAGON BALL XENOVERSE 2","dbxv2.exe"
"Friday the 13th: The Game","summercamp.exe"
"Prison Architect","prison architect.exe"
"TEKKEN 7","tekkengame-win64-shipping.exe"
"The Escapists 2","theescapists2.exe"
"Crusader Kings II","ck2game.exe"
"Microtransaction Simulator","microsimulator.exe"
"Warface","game.exe"
"Middle-earth: Shadow of Mordor","shadowofmordor.exe"
"METAL GEAR SOLID V: THE PHANTOM PAIN","mgsvmgo.exe"
"METAL GEAR SOLID V: THE PHANTOM PAIN","mgsvtpp.exe"
"Idle Champions of the Forgotten Realms","idledragons.exe"
"HuniePop","huniepop.app"
"HuniePop","huniepop.exe"
"Ultimate Chicken Horse","ultimatechickenhorse.exe"
"NieR:Automata","nierautomata.exe"
"DARK SOULS II: Scholar of the First Sin","darksoulsii.exe"
"Total War: WARHAMMER II","warhammer2.exe"
"Skullgirls","skullgirls.exe"
"Farming Simulator 17","farmingsimulator2017game.exe"
"100% Orange Juice","100orange.exe"
"Crypt of the NecroDancer","necrodancer.exe"
"Call of Duty: Black Ops II","t6mp.exe"
"Call of Duty: Black Ops II","t6sp.exe"
"Call of Duty: Black Ops II","t6zm.exe"
"Sonic Adventure 2","sonic2app.exe"
"Bloons TD Battles","battles-win.exe"
"Dishonored","dishonored.exe"
"Sven Co-op","svencoop.exe"
"Tower Unite","tower-win64-shipping.exe"
"Dying Light","dyinglightgame.exe"
"Chivalry: Medieval Warfare","cmw.exe"
"Squad","squad.exe"
"ASTRONEER","astro-win64-shipping.exe"
"Creativerse","creativerse.exe"
"Oddworld: Abe's Oddysee","abewin.exe"
"Tom Clancy's Ghost Recon Wildlands","grw.exe"
"Warhammer: End Times - Vermintide","vermintide.exe"
"BattleBlock Theater","battleblocktheater.exe"
"Killing Floor","killingfloor.exe"
"Kerbal Space Program","ksp.exe"
"Kerbal Space Program","ksp_x64.exe"
"Rise of the Tomb Raider","rottr.exe"
"Castle Crashers","castle.exe"
"Infestation: The New Z","thenewz.exe"
"Mirage: Arcane Warfare","tbl-win64-shipping.exe"
"Fistful of Frags","hl2.exe"
"STAR WARS Battlefront II","battlefrontii.exe"
"STAR WARS Battlefront II","starwarsbattlefrontii.exe"
"Cuphead","cuphead.exe"
"NARUTO SHIPPUDEN: Ultimate Ninja STORM 4","nsuns4.exe"
"TERA","tera.exe"
"Saints Row IV","saintsrowiv.exe"
"Absolver","absolver-win64-shipping.exe"
"Total War: WARHAMMER","launcher.exe"
"Scrap Mechanic","scrapmechanic.exe"
"Oxygen Not Included","oxygennotincluded.exe"
"Half-Life","hl.exe"
"Nuclear Throne","nuclearthrone.exe"
"No More Room in Hell","hl2.exe"
"The Sims 3","ts3.exe"
"The Sims 3","ts3w.exe"
"Divinity: Original Sin Enhanced Edition","eocapp.exe"
"Ravenfield","ravenfield.exe"
"Life is Strange","lifeisstrange.exe"
"Hollow Knight","hollow_knight.exe"
"Saints Row: The Third","saintsrowthethird.exe"
"Saints Row: The Third","saintsrowthethird_dx11.exe"
"Planet Coaster","planetcoaster.exe"
"Dishonored 2","dishonored2.exe"
"Clustertruck","clustertruck.exe"
"Crush Crush","crushcrush.exe"
"Battlefield 3","bf3.exe"
"World War II Online","ww2.exe"
"Company of Heroes 2","reliccoh2.exe"
"Realm Grinder","realmgrinderdesktop.exe"
"Project CARS","pcars.exe"
"Project CARS","pcars64.exe"
"Half-Life: C.A.G.E.D.","hl.exe"
"Guitar Hero III: Legends of Rock","gh3.exe"
"ROBLOX","roblox.exe"
"ROBLOX","robloxplayerbeta.exe"
"ROBLOX","robloxplayerlauncher.exe"
"Grand Theft Auto San Andreas","gta-sa.exe"
"Grand Theft Auto San Andreas","gta_sa.exe"
"PAYDAY 2","payday2_win32_release.exe"
"Ballistic Overkill","ballisticoverkill.exe"
"Call of Duty®: WWII","s2_mp64_ship.exe"
"Call of Duty®: WWII","s2_sp64_ship.exe"
"osu!","osu!.app"
"osu!","osu!.exe"
"Destiny 2","destiny2.exe"
"Hob","hob.exe"
"Fallout","falloutw.exe"
"Middle-earth: Shadow of War","shadowofwar.exe"
"Descenders","descenders.exe"
"Wolfenstein: The New Order","wolfneworder_x64.exe"
"Day of Infamy","dayofinfamy.exe"
"Day of Infamy","dayofinfamy_be.exe"
"Deceit","deceit.exe"
"Darkest Dungeon","darkest.exe"
"Bendy and the Ink Machine","batim.exe"
"A Hat in Time","hatintimegame.exe"
"Besiege","besiege.exe"
"Life is Strange: Before the Storm","life is strange - before the storm.exe"
"GUNS UP!","guns up.exe"
"H1Z1","h1z1.exe"
"H1Z1","h1z1_be.exe"
"Yu-Gi-Oh! Duel Links","dlpc.exe"
"FIFA 18","fifa18.exe"
"Sanctum 2","sanctumgame-win32-shipping.exe"
"Human: Fall Flat","human.exe"
"Watch Dogs","watch_dogs.exe"
"Assassin's Creed Origins","acorigins.exe"
"CS2D","cs2d.exe"
"Wolfenstein II: The New Colossus","newcolossus_x64vk.exe"
"DayZ","dayz.exe"
"DayZ","dayz_x64.exe"
"Brutal Legend","brutallegend.exe"
"Zombidle","zombidle.exe"
"Shadowrun: Hong Kong","srhk.exe"
"Rising Storm 2: Vietnam","vngame.exe"
"The Bureau: XCOM Declassified","thebureau.exe"
"Elsword","elsword.exe"
"Total War: Rome 2","rome2.exe"
"Freddy Fazbear's Pizzeria Simulator","pizzeria simulator.exe"
"Getting Over It with Bennett Foddy","gettingoverit.exe"
"Guns of Icarus Online","gunsoficarusonline.app"
"Guns of Icarus Online","gunsoficarusonline.exe"
"Guns of Icarus Alliance","gunsoficarusonline.exe"
"Zombidle: REMONSTERED","zombidle.exe"
"Guns N' Boxes","gunsnboxes.exe"
"VRChat","vrchat.exe"
"Red Crucible: Firestorm","red crucible.exe"
"Assassin's Creed IV Black Flag","ac4bfmp.exe"
"Assassin's Creed IV Black Flag","ac4bfsp.exe"
"Escape from Tarkov","escapefromtarkov.exe"
"SCP: Secret Laboratory","scpsl.exe"
"They Are Billions","theyarebillions.exe"
"The Long Dark","tld.exe"
"Pokémon Trading Card Game Online","pokemon trading card game online.exe"
"Kingdom: Classic","kingdom.exe"
"Don't Starve","dontstarve.exe"
"Don't Starve","dontstarve_steam.exe"
"Gwent","gwent.exe"
"Long Live Santa!","long live santa.exe"
"Slay the Spire","slaythespire.exe"
"Kingdoms and Castles","kingdomsandcastles.exe"
"Northgard","northgard.exe"
"Broforce","broforce_beta.exe"
"CrossFire BR","crossfire.exe"
"Neverwinter","neverwinter.exe"
"Neverwinter","gameclient.exe"
"Tibia","tibia.exe"
"Tibia","client.exe"
"Papers, Please","papersplease.exe"
"Closers","cw.exe"
"Spore","sporeapp.exe"
"Plague Inc: Evolved","plagueincevolved.exe"
"Borderlands: The Pre-Sequel","borderlandspresequel.exe"
"Hotline Miami","hotlinemiami.exe"
"Homefront","homefront.exe"
"theHunter™: Call of the Wild","thehuntercotw_f.exe"
